ED,Reported As,Reporting,Michael A. Walrond Jr.,Adriano Espaillat,Charles B. Rangel,Scattered,Yolanda Garcia,Total Votes,p_Michael A. Walrond Jr.,p_Adriano Espaillat,p_Charles B. Rangel,p_Scattered,p_Yolanda Garcia,winner,winner_p
72073,72073,100,0,23,6,0,0,29,0.0,0.7931034482758621,0.20689655172413793,0.0,0.0,Adriano Espaillat,0.7931034482758621
72074,72074,100,2,86,42,0,0,130,0.015384615384615385,0.6615384615384615,0.3230769230769231,0.0,0.0,Adriano Espaillat,0.6615384615384615
72075,72075,100,2,96,109,0,1,208,0.009615384615384616,0.46153846153846156,0.5240384615384616,0.0,0.004807692307692308,Charles B. Rangel,0.5240384615384616
72076,72076,100,1,116,20,0,0,137,0.0072992700729927005,0.8467153284671532,0.145985401459854,0.0,0.0,Adriano Espaillat,0.8467153284671532
72200,71086,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72201,71086,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72202,71086,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72203,71086,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72204,72204,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
72205,72205,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
77023,77023,100,5,69,57,1,2,134,0.03731343283582089,0.5149253731343284,0.4253731343283582,0.007462686567164179,0.014925373134328358,Adriano Espaillat,0.5149253731343284
77024,77024,100,4,28,40,0,3,75,0.05333333333333334,0.37333333333333335,0.5333333333333333,0.0,0.04,Charles B. Rangel,0.5333333333333333
77025,77025,100,6,44,75,1,0,126,0.047619047619047616,0.3492063492063492,0.5952380952380952,0.007936507936507936,0.0,Charles B. Rangel,0.5952380952380952
77026,77026,100,2,6,32,0,0,40,0.05,0.15,0.8,0.0,0.0,Charles B. Rangel,0.8
77027,77027,100,8,20,65,0,3,96,0.08333333333333333,0.20833333333333334,0.6770833333333334,0.0,0.03125,Charles B. Rangel,0.6770833333333334
77028,77028,100,2,33,66,0,3,104,0.019230769230769232,0.3173076923076923,0.6346153846153846,0.0,0.028846153846153848,Charles B. Rangel,0.6346153846153846
77029,77029,100,1,5,12,0,0,18,0.05555555555555555,0.2777777777777778,0.6666666666666666,0.0,0.0,Charles B. Rangel,0.6666666666666666
77030,77030,100,2,7,33,0,0,42,0.047619047619047616,0.16666666666666666,0.7857142857142857,0.0,0.0,Charles B. Rangel,0.7857142857142857
77031,77031,100,0,5,6,0,0,11,0.0,0.45454545454545453,0.5454545454545454,0.0,0.0,Charles B. Rangel,0.5454545454545454
78013,78013,100,3,32,23,0,3,61,0.04918032786885246,0.5245901639344263,0.3770491803278688,0.0,0.04918032786885246,Adriano Espaillat,0.5245901639344263
78014,78014,100,2,26,18,0,1,47,0.0425531914893617,0.5531914893617021,0.3829787234042553,0.0,0.02127659574468085,Adriano Espaillat,0.5531914893617021
78015,78015,100,1,11,8,0,1,21,0.047619047619047616,0.5238095238095238,0.38095238095238093,0.0,0.047619047619047616,Adriano Espaillat,0.5238095238095238
78016,78016,100,2,21,15,0,0,38,0.05263157894736842,0.5526315789473685,0.39473684210526316,0.0,0.0,Adriano Espaillat,0.5526315789473685
78017,78017,100,0,14,7,0,1,22,0.0,0.6363636363636364,0.3181818181818182,0.0,0.045454545454545456,Adriano Espaillat,0.6363636363636364
78018,78018,100,1,46,10,2,2,61,0.01639344262295082,0.7540983606557377,0.16393442622950818,0.03278688524590164,0.03278688524590164,Adriano Espaillat,0.7540983606557377
78019,78019,100,3,21,12,0,0,36,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.0,0.0,Adriano Espaillat,0.5833333333333334
78020,78020,100,3,26,18,2,1,50,0.06,0.52,0.36,0.04,0.02,Adriano Espaillat,0.52
78021,78021,100,1,31,25,0,6,63,0.015873015873015872,0.49206349206349204,0.3968253968253968,0.0,0.09523809523809523,Adriano Espaillat,0.49206349206349204
78022,78022,100,3,66,14,0,1,84,0.03571428571428571,0.7857142857142857,0.16666666666666666,0.0,0.011904761904761904,Adriano Espaillat,0.7857142857142857
78023,78023,100,3,66,18,0,1,88,0.03409090909090909,0.75,0.20454545454545456,0.0,0.011363636363636364,Adriano Espaillat,0.75
78024,78024,100,0,53,21,0,1,75,0.0,0.7066666666666667,0.28,0.0,0.013333333333333334,Adriano Espaillat,0.7066666666666667
