ED,Reported As,Reporting,Ruth H. Thompson,Crystal Collins,Scattered,Total Votes,p_Ruth H. Thompson,p_Crystal Collins,p_Scattered,winner,winner_p
83073,83073,100,63,4,0,67,0.9402985074626866,0.05970149253731343,0.0,Ruth H. Thompson,0.9402985074626866
83074,83074,100,44,8,0,52,0.8461538461538461,0.15384615384615385,0.0,Ruth H. Thompson,0.8461538461538461
83075,83075,100,45,5,0,50,0.9,0.1,0.0,Ruth H. Thompson,0.9
83076,83076,100,44,7,1,52,0.8461538461538461,0.1346153846153846,0.019230769230769232,Ruth H. Thompson,0.8461538461538461
83077,83077,100,41,15,0,56,0.7321428571428571,0.26785714285714285,0.0,Ruth H. Thompson,0.7321428571428571
83078,83078,100,25,4,0,29,0.8620689655172413,0.13793103448275862,0.0,Ruth H. Thompson,0.8620689655172413
83079,83079,100,41,6,0,47,0.8723404255319149,0.1276595744680851,0.0,Ruth H. Thompson,0.8723404255319149
83080,83080,100,36,4,1,41,0.8780487804878049,0.0975609756097561,0.024390243902439025,Ruth H. Thompson,0.8780487804878049
83081,83081,100,46,5,0,51,0.9019607843137255,0.09803921568627451,0.0,Ruth H. Thompson,0.9019607843137255
83082,83082,100,47,4,0,51,0.9215686274509803,0.0784313725490196,0.0,Ruth H. Thompson,0.9215686274509803
83083,83083,100,36,4,0,40,0.9,0.1,0.0,Ruth H. Thompson,0.9
83084,83084,100,9,9,0,18,0.5,0.5,0.0,Tie,0.5
83085,83085,100,20,2,0,22,0.9090909090909091,0.09090909090909091,0.0,Ruth H. Thompson,0.9090909090909091
83086,83086,100,14,0,0,14,1.0,0.0,0.0,Ruth H. Thompson,1.0
