ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
48068,48068,99.00,1,0,1,1.0,0.0,Yes,1.0
48069,48069,99.00,1,0,1,1.0,0.0,Yes,1.0
48070,48070,99.00,61,67,128,0.4765625,0.5234375,No,0.5234375
48071,48071,99.00,13,103,116,0.11206896551724138,0.8879310344827587,No,0.8879310344827587
48072,48072,99.00,32,137,169,0.1893491124260355,0.8106508875739645,No,0.8106508875739645
49001,49001,99.00,80,22,102,0.7843137254901961,0.21568627450980393,Yes,0.7843137254901961
49002,49002,99.00,33,18,51,0.6470588235294118,0.35294117647058826,Yes,0.6470588235294118
49003,49003,66.67,9,2,11,0.8181818181818182,0.18181818181818182,Yes,0.8181818181818182
49004,49004,66.67,77,40,117,0.6581196581196581,0.3418803418803419,Yes,0.6581196581196581
49005,49005,66.67,33,19,52,0.6346153846153846,0.36538461538461536,Yes,0.6346153846153846
49006,49006,99.00,2,0,2,1.0,0.0,Yes,1.0
49007,49007,99.00,0,0,0,0,0,n/a,0
49008,49008,99.00,64,23,87,0.735632183908046,0.26436781609195403,Yes,0.735632183908046
49009,49009,99.00,34,15,49,0.6938775510204082,0.30612244897959184,Yes,0.6938775510204082
49010,49010,0.00,0,0,0,0,0,n/a,0
49011,49011,0.00,3,0,3,1.0,0.0,Yes,1.0
49012,49012,99.00,1,1,2,0.5,0.5,Tie,0.5
49013,49013,99.00,1,0,1,1.0,0.0,Yes,1.0
49014,49014,66.67,0,0,0,0,0,n/a,0
49015,49015,99.00,0,0,0,0,0,n/a,0
49016,49016,99.00,54,14,68,0.7941176470588235,0.20588235294117646,Yes,0.7941176470588235
49017,49017,99.00,47,36,83,0.5662650602409639,0.43373493975903615,Yes,0.5662650602409639
49018,49018,99.00,0,1,1,0.0,1.0,No,1.0
49019,49019,99.00,47,23,70,0.6714285714285714,0.32857142857142857,Yes,0.6714285714285714
49020,49020,99.00,109,51,160,0.68125,0.31875,Yes,0.68125
49021,49021,99.00,49,19,68,0.7205882352941176,0.27941176470588236,Yes,0.7205882352941176
49022,49022,99.00,59,41,100,0.59,0.41,Yes,0.59
49023,49023,99.00,104,37,141,0.7375886524822695,0.2624113475177305,Yes,0.7375886524822695
49024,49024,99.00,2,2,4,0.5,0.5,Tie,0.5
49025,49025,99.00,74,41,115,0.6434782608695652,0.3565217391304348,Yes,0.6434782608695652
49026,49026,44.44,89,72,161,0.5527950310559007,0.4472049689440994,Yes,0.5527950310559007
49027,49027,44.44,59,24,83,0.7108433734939759,0.2891566265060241,Yes,0.7108433734939759
49028,49028,44.44,3,6,9,0.3333333333333333,0.6666666666666666,No,0.6666666666666666
49029,49029,99.00,0,0,0,0,0,n/a,0
49030,49030,99.00,3,0,3,1.0,0.0,Yes,1.0
49031,49031,99.00,34,18,52,0.6538461538461539,0.34615384615384615,Yes,0.6538461538461539
49032,49032,99.00,0,0,0,0,0,n/a,0
49033,49033,99.00,1,0,1,1.0,0.0,Yes,1.0
49034,49034,44.44,5,1,6,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
49035,49035,99.00,110,68,178,0.6179775280898876,0.38202247191011235,Yes,0.6179775280898876
49036,49036,44.44,1,0,1,1.0,0.0,Yes,1.0
